date,index,date_time,trading_symbol,type,option_type,strike,open,high,low,close,volume,open_interest,expiry_date
2026-04-15,SENSEX,2026-04-15 11:09:00+05:30,SENSEX,SPOT,,,77975.97,77987.19,77941.35,77944.81,0,,
2026-04-15,SENSEX,2026-04-15 11:10:00+05:30,SENSEX,SPOT,,,77942.65,77955.14,77926.29,77932.57,0,,
2026-04-15,SENSEX,2026-04-15 11:11:00+05:30,SENSEX,SPOT,,,77932.73,77954.17,77923.56,77950.51,0,,
2026-04-15,SENSEX,2026-04-15 11:12:00+05:30,SENSEX,SPOT,,,77951.13,77970.39,77926.96,77932.42,0,,
2026-04-15,SENSEX,2026-04-15 11:13:00+05:30,SENSEX,SPOT,,,77932.06,77945.23,77929.67,77940.49,0,,
2026-04-15,SENSEX,2026-04-15 11:14:00+05:30,SENSEX,SPOT,,,77940.49,77959.84,77933.26,77946.19,0,,
2026-04-15,SENSEX,2026-04-15 11:15:00+05:30,SENSEX,SPOT,,,77945.66,77945.66,77903.57,77932.26,0,,
2026-04-15,SENSEX,2026-04-15 11:16:00+05:30,SENSEX,SPOT,,,77934.36,77971.89,77934.36,77968.78,0,,
2026-04-15,SENSEX,2026-04-15 11:17:00+05:30,SENSEX,SPOT,,,77968.78,77987.78,77962.03,77982.04,0,,
2026-04-15,SENSEX,2026-04-15 11:18:00+05:30,SENSEX,SPOT,,,77983.56,78013.99,77979.7,77979.7,0,,
2026-04-15,SENSEX,2026-04-15 11:19:00+05:30,SENSEX,SPOT,,,77978.02,77990.87,77958.71,77958.71,0,,
2026-04-15,SENSEX,2026-04-15 11:20:00+05:30,SENSEX,SPOT,,,77962.72,77974.03,77950.04,77973.58,0,,
2026-04-15,SENSEX,2026-04-15 11:21:00+05:30,SENSEX,SPOT,,,77974.44,77986.47,77970.84,77984.68,0,,
2026-04-15,SENSEX,2026-04-15 11:22:00+05:30,SENSEX,SPOT,,,77983.75,78008.79,77978.91,77983.05,0,,
2026-04-15,SENSEX,2026-04-15 11:23:00+05:30,SENSEX,SPOT,,,77984.01,77991.71,77977.41,77985.46,0,,
2026-04-15,SENSEX,2026-04-15 11:24:00+05:30,SENSEX,SPOT,,,77985.46,77994.74,77976.96,77986.18,0,,
2026-04-15,SENSEX,2026-04-15 11:25:00+05:30,SENSEX,SPOT,,,77987.22,77987.22,77952.91,77957.51,0,,
